Number of measurement points: 496
Sample Rate (Hz): 40
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.000452620442956686	-0.0455911399330944
1	0.025	-0.000452620442956686	-0.0455911399330944
2	0.05	-0.000452620442956686	-0.0455911399330944
3	0.075	-0.00174229242838919	-0.0455911399330944
4	0.1	-0.000452620442956686	-0.0455911399330944
5	0.125	-0.000452620442956686	-0.0455911399330944
6	0.15	-0.00174229242838919	-0.0455911399330944
7	0.175	-0.000452620442956686	-0.0455911399330944
8	0.2	-0.000452620442956686	-0.0455911399330944
9	0.225	-0.000452620442956686	-0.0455911399330944
10	0.25	-0.000452620442956686	-0.0455911399330944
11	0.275	-0.000452620442956686	-0.0443014679476619
12	0.3	-0.00174229242838919	-0.0455911399330944
13	0.325	-0.000452620442956686	-0.0455911399330944
14	0.35	-0.00174229242838919	-0.0455911399330944
15	0.375	-0.00174229242838919	-0.0443014679476619
16	0.4	-0.000452620442956686	-0.0455911399330944
17	0.425	-0.000452620442956686	-0.0443014679476619
18	0.45	-0.000452620442956686	-0.0443014679476619
19	0.475	-0.000452620442956686	-0.0443014679476619
20	0.5	-0.000452620442956686	-0.0455911399330944
21	0.525	-0.000452620442956686	-0.0455911399330944
22	0.55	-0.000452620442956686	-0.0443014679476619
23	0.575	-0.000452620442956686	-0.0455911399330944
24	0.6	-0.00174229242838919	-0.0443014679476619
25	0.625	-0.000452620442956686	-0.0455911399330944
26	0.65	-0.000452620442956686	-0.0443014679476619
27	0.675	-0.000452620442956686	-0.0455911399330944
28	0.7	-0.00174229242838919	-0.0455911399330944
29	0.725	-0.00174229242838919	-0.0443014679476619
30	0.75	-0.000452620442956686	-0.0455911399330944
31	0.775	-0.000452620442956686	-0.0455911399330944
32	0.8	-0.000452620442956686	-0.0455911399330944
33	0.825	-0.000452620442956686	-0.0455911399330944
34	0.85	-0.00174229242838919	-0.0443014679476619
35	0.875	-0.00174229242838919	-0.0455911399330944
36	0.9	-0.000452620442956686	-0.0443014679476619
37	0.925	-0.000452620442956686	-0.0455911399330944
38	0.95	-0.000452620442956686	-0.0455911399330944
39	0.975	-0.000452620442956686	-0.0455911399330944
40	1	-0.00174229242838919	-0.0455911399330944
41	1.025	-0.000452620442956686	-0.0455911399330944
42	1.05	-0.000452620442956686	-0.0455911399330944
43	1.075	-0.000452620442956686	-0.0455911399330944
44	1.1	-0.000452620442956686	-0.0455911399330944
45	1.125	-0.000452620442956686	-0.0455911399330944
46	1.15	-0.000452620442956686	-0.0455911399330944
47	1.175	-0.000452620442956686	-0.0455911399330944
48	1.2	-0.000452620442956686	-0.0455911399330944
49	1.225	-0.000452620442956686	-0.0455911399330944
50	1.25	-0.000452620442956686	-0.0443014679476619
51	1.275	-0.000452620442956686	-0.0443014679476619
52	1.3	-0.000452620442956686	-0.0455911399330944
53	1.325	-0.000452620442956686	-0.0455911399330944
54	1.35	-0.000452620442956686	-0.0455911399330944
55	1.375	-0.000452620442956686	-0.0455911399330944
56	1.4	-0.000452620442956686	-0.0455911399330944
57	1.425	-0.000452620442956686	-0.0455911399330944
58	1.45	-0.00174229242838919	-0.0455911399330944
59	1.475	-0.000452620442956686	-0.0443014679476619
60	1.5	-0.000452620442956686	-0.0455911399330944
61	1.525	-0.000452620442956686	-0.0455911399330944
62	1.55	-0.000452620442956686	-0.0455911399330944
63	1.575	-0.000452620442956686	-0.0443014679476619
64	1.6	-0.00174229242838919	-0.0455911399330944
65	1.625	-0.000452620442956686	-0.0455911399330944
66	1.65	-0.000452620442956686	-0.0455911399330944
67	1.675	-0.00174229242838919	-0.0443014679476619
68	1.7	-0.000452620442956686	-0.0455911399330944
69	1.725	-0.000452620442956686	-0.0443014679476619
70	1.75	-0.000452620442956686	-0.0455911399330944
71	1.775	-0.000452620442956686	-0.0455911399330944
72	1.8	-0.000452620442956686	-0.0443014679476619
73	1.825	-0.000452620442956686	-0.0455911399330944
74	1.85	-0.000452620442956686	-0.0455911399330944
75	1.875	-0.000452620442956686	-0.0455911399330944
76	1.9	-0.000452620442956686	-0.0455911399330944
77	1.925	-0.000452620442956686	-0.0443014679476619
78	1.95	-0.000452620442956686	-0.0455911399330944
79	1.975	-0.000452620442956686	-0.0455911399330944
80	2	-0.000452620442956686	-0.0455911399330944
81	2.025	-0.00174229242838919	-0.0455911399330944
82	2.05	-0.000452620442956686	-0.0455911399330944
83	2.075	-0.000452620442956686	-0.0455911399330944
84	2.1	-0.00174229242838919	-0.0455911399330944
85	2.125	-0.00174229242838919	-0.0455911399330944
86	2.15	-0.00174229242838919	-0.0455911399330944
87	2.175	-0.000452620442956686	-0.0443014679476619
88	2.2	-0.000452620442956686	-0.0455911399330944
89	2.225	-0.00174229242838919	-0.0455911399330944
90	2.25	-0.000452620442956686	-0.0443014679476619
91	2.275	-0.00174229242838919	-0.0455911399330944
92	2.3	-0.00174229242838919	-0.0455911399330944
93	2.325	-0.000452620442956686	-0.0455911399330944
94	2.35	-0.000452620442956686	-0.0455911399330944
95	2.375	-0.00174229242838919	-0.0455911399330944
96	2.4	-0.00174229242838919	-0.0443014679476619
97	2.425	-0.000452620442956686	-0.0455911399330944
98	2.45	-0.000452620442956686	-0.0455911399330944
99	2.475	-0.000452620442956686	-0.0455911399330944
100	2.5	-0.000452620442956686	-0.0455911399330944
101	2.525	-0.000452620442956686	-0.0455911399330944
102	2.55	-0.00174229242838919	-0.0455911399330944
103	2.575	-0.000452620442956686	-0.0455911399330944
104	2.6	-0.00174229242838919	-0.0455911399330944
105	2.625	-0.000452620442956686	-0.0455911399330944
106	2.65	-0.000452620442956686	-0.0455911399330944
107	2.675	-0.000452620442956686	-0.0455911399330944
108	2.7	-0.000452620442956686	-0.0455911399330944
109	2.725	-0.000452620442956686	-0.0455911399330944
110	2.75	-0.00174229242838919	-0.0455911399330944
111	2.775	-0.00174229242838919	-0.0455911399330944
112	2.8	-0.00174229242838919	-0.0455911399330944
113	2.825	-0.00174229242838919	-0.0455911399330944
114	2.85	-0.00174229242838919	-0.0455911399330944
115	2.875	-0.00174229242838919	-0.0443014679476619
116	2.9	-0.00174229242838919	-0.0455911399330944
117	2.925	-0.000452620442956686	-0.0443014679476619
118	2.95	-0.000452620442956686	-0.0455911399330944
119	2.975	-0.00174229242838919	-0.0455911399330944
120	3	-0.000452620442956686	-0.0455911399330944
121	3.025	-0.00174229242838919	-0.0455911399330944
122	3.05	-0.00174229242838919	-0.0443014679476619
123	3.075	-0.000452620442956686	-0.0443014679476619
124	3.1	-0.000452620442956686	-0.0455911399330944
125	3.125	-0.000452620442956686	-0.0455911399330944
126	3.15	-0.000452620442956686	-0.0443014679476619
127	3.175	-0.000452620442956686	-0.0455911399330944
128	3.2	-0.000452620442956686	-0.0455911399330944
129	3.225	-0.000452620442956686	-0.0455911399330944
130	3.25	-0.000452620442956686	-0.0455911399330944
131	3.275	-0.000452620442956686	-0.0455911399330944
132	3.3	-0.00174229242838919	-0.0455911399330944
133	3.325	-0.000452620442956686	-0.0455911399330944
134	3.35	-0.00174229242838919	-0.0455911399330944
135	3.375	-0.00174229242838919	-0.0455911399330944
136	3.4	-0.000452620442956686	-0.0455911399330944
