Number of measurement points: 5553
Sample Rate (Hz): 100
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.00561130838468671	-0.847767114872113
1	0.01	-0.0030319644138217	-0.847767114872113
2	0.02	-0.0030319644138217	-0.847767114872113
3	0.03	-0.0030319644138217	-0.847767114872113
4	0.04	-0.0030319644138217	-0.847767114872113
5	0.05	-0.0030319644138217	-0.849056786857545
6	0.06	-0.0030319644138217	-0.847767114872113
7	0.07	-0.0030319644138217	-0.847767114872113
8	0.08	-0.0043216363992542	-0.847767114872113
9	0.09	-0.0030319644138217	-0.847767114872113
10	0.1	-0.0030319644138217	-0.847767114872113
11	0.11	-0.0030319644138217	-0.847767114872113
12	0.12	-0.0030319644138217	-0.847767114872113
13	0.13	-0.00174229242838919	-0.847767114872113
14	0.14	-0.0030319644138217	-0.847767114872113
15	0.15	-0.0030319644138217	-0.849056786857545
16	0.16	-0.0030319644138217	-0.847767114872113
17	0.17	-0.0030319644138217	-0.847767114872113
18	0.18	-0.0030319644138217	-0.847767114872113
19	0.19	-0.0030319644138217	-0.847767114872113
20	0.2	-0.0030319644138217	-0.849056786857545
21	0.21	-0.0030319644138217	-0.847767114872113
22	0.22	-0.0030319644138217	-0.849056786857545
23	0.23	-0.0030319644138217	-0.847767114872113
24	0.24	-0.0043216363992542	-0.847767114872113
25	0.25	-0.00174229242838919	-0.847767114872113
26	0.26	-0.0030319644138217	-0.849056786857545
27	0.27	-0.0030319644138217	-0.849056786857545
28	0.28	-0.0030319644138217	-0.849056786857545
29	0.29	-0.0030319644138217	-0.847767114872113
30	0.3	-0.0030319644138217	-0.849056786857545
31	0.31	-0.00174229242838919	-0.849056786857545
32	0.32	-0.0030319644138217	-0.847767114872113
33	0.33	-0.00174229242838919	-0.847767114872113
34	0.34	-0.0030319644138217	-0.849056786857545
35	0.35	-0.0030319644138217	-0.849056786857545
36	0.36	-0.0030319644138217	-0.847767114872113
37	0.37	-0.0030319644138217	-0.847767114872113
38	0.38	-0.0030319644138217	-0.847767114872113
39	0.39	-0.0030319644138217	-0.847767114872113
40	0.4	-0.0030319644138217	-0.847767114872113
41	0.41	-0.0030319644138217	-0.847767114872113
42	0.42	-0.0030319644138217	-0.847767114872113
43	0.43	-0.0030319644138217	-0.847767114872113
44	0.44	-0.0030319644138217	-0.847767114872113
45	0.45	-0.00174229242838919	-0.847767114872113
46	0.46	-0.0030319644138217	-0.847767114872113
47	0.47	-0.0030319644138217	-0.849056786857545
48	0.48	-0.0030319644138217	-0.849056786857545
49	0.49	-0.0030319644138217	-0.849056786857545
50	0.5	-0.0043216363992542	-0.847767114872113
51	0.51	-0.0030319644138217	-0.847767114872113
52	0.52	-0.0043216363992542	-0.849056786857545
53	0.53	-0.0030319644138217	-0.847767114872113
54	0.54	-0.0030319644138217	-0.849056786857545
55	0.55	-0.0030319644138217	-0.847767114872113
56	0.56	-0.0030319644138217	-0.847767114872113
57	0.57	-0.00174229242838919	-0.847767114872113
58	0.58	-0.0043216363992542	-0.849056786857545
59	0.59	-0.00174229242838919	-0.847767114872113
60	0.6	-0.0030319644138217	-0.847767114872113
61	0.61	-0.0030319644138217	-0.847767114872113
62	0.62	-0.0030319644138217	-0.849056786857545
63	0.63	-0.0030319644138217	-0.847767114872113
64	0.64	-0.0030319644138217	-0.849056786857545
65	0.65	-0.00174229242838919	-0.847767114872113
66	0.66	-0.0043216363992542	-0.847767114872113
67	0.67	-0.0030319644138217	-0.847767114872113
68	0.68	-0.0043216363992542	-0.847767114872113
69	0.69	-0.0030319644138217	-0.847767114872113
70	0.7	-0.0030319644138217	-0.847767114872113
71	0.71	-0.0030319644138217	-0.849056786857545
72	0.72	-0.0030319644138217	-0.847767114872113
73	0.73	-0.0030319644138217	-0.847767114872113
74	0.74	-0.0030319644138217	-0.847767114872113
75	0.75	-0.0030319644138217	-0.847767114872113
76	0.76	-0.0030319644138217	-0.849056786857545
77	0.77	-0.0030319644138217	-0.847767114872113
78	0.78	-0.0030319644138217	-0.847767114872113
79	0.79	-0.00174229242838919	-0.847767114872113
80	0.8	-0.0030319644138217	-0.847767114872113
81	0.81	-0.0030319644138217	-0.849056786857545
82	0.82	-0.0030319644138217	-0.847767114872113
83	0.83	-0.0030319644138217	-0.847767114872113
84	0.84	-0.0030319644138217	-0.847767114872113
85	0.85	-0.0030319644138217	-0.847767114872113
86	0.86	-0.0043216363992542	-0.847767114872113
87	0.87	-0.0030319644138217	-0.847767114872113
88	0.88	-0.0030319644138217	-0.847767114872113
89	0.89	-0.00174229242838919	-0.847767114872113
90	0.9	-0.0030319644138217	-0.847767114872113
91	0.91	-0.0030319644138217	-0.847767114872113
92	0.92	-0.0030319644138217	-0.847767114872113
93	0.93	-0.0030319644138217	-0.847767114872113
94	0.94	-0.0030319644138217	-0.847767114872113
95	0.95	-0.0030319644138217	-0.847767114872113
96	0.96	-0.0043216363992542	-0.847767114872113
97	0.97	-0.0030319644138217	-0.847767114872113
98	0.98	-0.0030319644138217	-0.847767114872113
99	0.99	-0.00174229242838919	-0.847767114872113
100	1	-0.0030319644138217	-0.847767114872113
101	1.01	-0.0030319644138217	-0.849056786857545
102	1.02	-0.0030319644138217	-0.847767114872113
103	1.03	-0.0030319644138217	-0.847767114872113
104	1.04	-0.0030319644138217	-0.847767114872113
105	1.05	-0.00174229242838919	-0.847767114872113
106	1.06	-0.0030319644138217	-0.847767114872113
107	1.07	-0.00174229242838919	-0.847767114872113
108	1.08	-0.0030319644138217	-0.847767114872113
109	1.09	-0.00174229242838919	-0.847767114872113
110	1.1	-0.0030319644138217	-0.847767114872113
111	1.11	-0.00174229242838919	-0.847767114872113
112	1.12	-0.0030319644138217	-0.847767114872113
113	1.13	-0.0030319644138217	-0.847767114872113
114	1.14	-0.0030319644138217	-0.847767114872113
115	1.15	-0.00174229242838919	-0.847767114872113
116	1.16	-0.0030319644138217	-0.847767114872113
117	1.17	-0.00174229242838919	-0.847767114872113
118	1.18	-0.0030319644138217	-0.847767114872113
119	1.19	-0.0030319644138217	-0.847767114872113
120	1.2	-0.0030319644138217	-0.847767114872113
121	1.21	-0.0030319644138217	-0.84647744288668
122	1.22	-0.0030319644138217	-0.847767114872113
123	1.23	-0.00174229242838919	-0.847767114872113
124	1.24	-0.0030319644138217	-0.847767114872113
125	1.25	-0.0030319644138217	-0.847767114872113
126	1.26	-0.0030319644138217	-0.847767114872113
127	1.27	-0.00174229242838919	-0.84647744288668
128	1.28	-0.0030319644138217	-0.847767114872113
