Number of measurement points: 4123
Sample Rate (Hz): 100
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0030319644138217	-0.921278418041766
1	0.01	-0.00174229242838919	-0.921278418041766
2	0.02	-0.0030319644138217	-0.922568090027198
3	0.03	-0.00174229242838919	-0.921278418041766
4	0.04	-0.0043216363992542	-0.921278418041766
5	0.05	-0.0030319644138217	-0.921278418041766
6	0.06	-0.0030319644138217	-0.922568090027198
7	0.07	-0.00174229242838919	-0.922568090027198
8	0.08	-0.0043216363992542	-0.922568090027198
9	0.09	-0.0030319644138217	-0.922568090027198
10	0.1	-0.0030319644138217	-0.922568090027198
11	0.11	-0.0030319644138217	-0.922568090027198
12	0.12	-0.0043216363992542	-0.921278418041766
13	0.13	-0.0030319644138217	-0.922568090027198
14	0.14	-0.0030319644138217	-0.922568090027198
15	0.15	-0.0030319644138217	-0.921278418041766
16	0.16	-0.0030319644138217	-0.922568090027198
17	0.17	-0.0030319644138217	-0.922568090027198
18	0.18	-0.0030319644138217	-0.922568090027198
19	0.19	-0.0030319644138217	-0.921278418041766
20	0.2	-0.0030319644138217	-0.922568090027198
21	0.21	-0.0030319644138217	-0.922568090027198
22	0.22	-0.0030319644138217	-0.921278418041766
23	0.23	-0.0030319644138217	-0.922568090027198
24	0.24	-0.0043216363992542	-0.922568090027198
25	0.25	-0.0030319644138217	-0.921278418041766
26	0.26	-0.0043216363992542	-0.922568090027198
27	0.27	-0.00174229242838919	-0.922568090027198
28	0.28	-0.0043216363992542	-0.922568090027198
29	0.29	-0.0030319644138217	-0.922568090027198
30	0.3	-0.0030319644138217	-0.921278418041766
31	0.31	-0.0030319644138217	-0.922568090027198
32	0.32	-0.0043216363992542	-0.922568090027198
33	0.33	-0.0030319644138217	-0.922568090027198
34	0.34	-0.0043216363992542	-0.921278418041766
35	0.35	-0.0030319644138217	-0.922568090027198
36	0.36	-0.0030319644138217	-0.922568090027198
37	0.37	-0.0030319644138217	-0.922568090027198
38	0.38	-0.0030319644138217	-0.922568090027198
39	0.39	-0.0030319644138217	-0.922568090027198
40	0.4	-0.0043216363992542	-0.921278418041766
41	0.41	-0.0030319644138217	-0.921278418041766
42	0.42	-0.0030319644138217	-0.922568090027198
43	0.43	-0.0030319644138217	-0.922568090027198
44	0.44	-0.0030319644138217	-0.922568090027198
45	0.45	-0.0030319644138217	-0.922568090027198
46	0.46	-0.0043216363992542	-0.922568090027198
47	0.47	-0.0030319644138217	-0.922568090027198
48	0.48	-0.0030319644138217	-0.922568090027198
49	0.49	-0.0030319644138217	-0.922568090027198
50	0.5	-0.0030319644138217	-0.922568090027198
51	0.51	-0.0030319644138217	-0.922568090027198
52	0.52	-0.0043216363992542	-0.922568090027198
53	0.53	-0.0030319644138217	-0.922568090027198
54	0.54	-0.0043216363992542	-0.922568090027198
55	0.55	-0.0030319644138217	-0.922568090027198
56	0.56	-0.0043216363992542	-0.921278418041766
57	0.57	-0.0030319644138217	-0.922568090027198
58	0.58	-0.0030319644138217	-0.921278418041766
59	0.59	-0.0030319644138217	-0.922568090027198
60	0.6	-0.0043216363992542	-0.922568090027198
61	0.61	-0.0030319644138217	-0.922568090027198
62	0.62	-0.0043216363992542	-0.922568090027198
63	0.63	-0.0030319644138217	-0.922568090027198
64	0.64	-0.0030319644138217	-0.922568090027198
65	0.65	-0.0030319644138217	-0.922568090027198
66	0.66	-0.0043216363992542	-0.921278418041766
67	0.67	-0.0030319644138217	-0.922568090027198
68	0.68	-0.0043216363992542	-0.922568090027198
69	0.69	-0.0030319644138217	-0.922568090027198
70	0.7	-0.0030319644138217	-0.922568090027198
71	0.71	-0.0030319644138217	-0.922568090027198
72	0.72	-0.0030319644138217	-0.922568090027198
73	0.73	-0.0030319644138217	-0.921278418041766
74	0.74	-0.0030319644138217	-0.921278418041766
75	0.75	-0.0030319644138217	-0.922568090027198
76	0.76	-0.0043216363992542	-0.922568090027198
77	0.77	-0.00174229242838919	-0.921278418041766
78	0.78	-0.0030319644138217	-0.921278418041766
79	0.79	-0.0030319644138217	-0.922568090027198
80	0.8	-0.0030319644138217	-0.922568090027198
81	0.81	-0.0030319644138217	-0.922568090027198
82	0.82	-0.0030319644138217	-0.922568090027198
83	0.83	-0.0030319644138217	-0.922568090027198
84	0.84	-0.0043216363992542	-0.922568090027198
85	0.85	-0.0030319644138217	-0.922568090027198
86	0.86	-0.0043216363992542	-0.922568090027198
87	0.87	-0.0030319644138217	-0.922568090027198
88	0.88	-0.0043216363992542	-0.921278418041766
89	0.89	-0.0030319644138217	-0.922568090027198
90	0.9	-0.0030319644138217	-0.922568090027198
91	0.91	-0.0030319644138217	-0.922568090027198
92	0.92	-0.0043216363992542	-0.922568090027198
93	0.93	-0.0030319644138217	-0.922568090027198
94	0.94	-0.0043216363992542	-0.922568090027198
95	0.95	-0.0030319644138217	-0.922568090027198
96	0.96	-0.0043216363992542	-0.921278418041766
97	0.97	-0.0030319644138217	-0.922568090027198
98	0.98	-0.0043216363992542	-0.921278418041766
99	0.99	-0.0030319644138217	-0.922568090027198
100	1	-0.0043216363992542	-0.922568090027198
101	1.01	-0.00174229242838919	-0.922568090027198
102	1.02	-0.0030319644138217	-0.922568090027198
103	1.03	-0.0030319644138217	-0.922568090027198
104	1.04	-0.0043216363992542	-0.922568090027198
105	1.05	-0.00174229242838919	-0.922568090027198
106	1.06	-0.0043216363992542	-0.922568090027198
107	1.07	-0.0030319644138217	-0.922568090027198
108	1.08	-0.0043216363992542	-0.922568090027198
109	1.09	-0.0030319644138217	-0.922568090027198
110	1.1	-0.0043216363992542	-0.922568090027198
111	1.11	-0.0030319644138217	-0.922568090027198
112	1.12	-0.0043216363992542	-0.922568090027198
113	1.13	-0.00174229242838919	-0.922568090027198
114	1.14	-0.0043216363992542	-0.922568090027198
115	1.15	-0.00174229242838919	-0.922568090027198
116	1.16	-0.0043216363992542	-0.922568090027198
117	1.17	-0.0030319644138217	-0.922568090027198
118	1.18	-0.0043216363992542	-0.922568090027198
119	1.19	-0.0030319644138217	-0.922568090027198
120	1.2	-0.0043216363992542	-0.922568090027198
121	1.21	-0.0030319644138217	-0.922568090027198
122	1.22	-0.0030319644138217	-0.922568090027198
123	1.23	-0.0030319644138217	-0.922568090027198
124	1.24	-0.0043216363992542	-0.922568090027198
125	1.25	-0.0030319644138217	-0.922568090027198
126	1.26	-0.0043216363992542	-0.922568090027198
127	1.27	-0.0030319644138217	-0.922568090027198
128	1.28	-0.0043216363992542	-0.922568090027198
129	1.29	-0.0030319644138217	-0.922568090027198
130	1.3	-0.0043216363992542	-0.922568090027198
131	1.31	-0.0030319644138217	-0.922568090027198
132	1.32	-0.0043216363992542	-0.922568090027198
133	1.33	-0.0030319644138217	-0.922568090027198
134	1.34	-0.0043216363992542	-0.922568090027198
135	1.35	-0.0030319644138217	-0.922568090027198
136	1.36	-0.0030319644138217	-0.922568090027198
137	1.37	-0.0030319644138217	-0.922568090027198
138	1.38	-0.0043216363992542	-0.922568090027198
139	1.39	-0.0030319644138217	-0.922568090027198
140	1.4	-0.0043216363992542	-0.922568090027198
141	1.41	-0.0030319644138217	-0.922568090027198
142	1.42	-0.0043216363992542	-0.922568090027198
143	1.43	-0.0030319644138217	-0.922568090027198
144	1.44	-0.0043216363992542	-0.922568090027198
145	1.45	-0.0030319644138217	-0.922568090027198
146	1.46	-0.0043216363992542	-0.922568090027198
147	1.47	-0.0030319644138217	-0.922568090027198
148	1.48	-0.0043216363992542	-0.921278418041766
149	1.49	-0.0030319644138217	-0.922568090027198
150	1.5	-0.0030319644138217	-0.922568090027198
151	1.51	-0.00174229242838919	-0.922568090027198
152	1.52	-0.0030319644138217	-0.922568090027198
153	1.53	-0.0030319644138217	-0.922568090027198
154	1.54	-0.0043216363992542	-0.922568090027198
155	1.55	-0.0030319644138217	-0.922568090027198
156	1.56	-0.0043216363992542	-0.922568090027198
157	1.57	-0.0030319644138217	-0.922568090027198
158	1.58	-0.0030319644138217	-0.922568090027198
159	1.59	-0.0030319644138217	-0.922568090027198
160	1.6	-0.0043216363992542	-0.922568090027198
161	1.61	-0.00174229242838919	-0.922568090027198
162	1.62	-0.0030319644138217	-0.922568090027198
163	1.63	-0.0030319644138217	-0.922568090027198
164	1.64	-0.0043216363992542	-0.922568090027198
